rank,instructor_id,n_batches,n_courses,avg_completion_rate,avg_dropout_rate,avg_score_improvement,avg_quiz_score,avg_watch_time,avg_assignment_sub_rate,avg_forum_activity,avg_feedback_score,avg_feedback_response_rate,effectiveness_score,tier
1,I_010,13,10,0.941,0.069,34.857,90.656,0.901,0.838,0.343,4.553,0.892,0.981,Tier 1 – Highly Effective
2,I_037,15,12,0.924,0.087,34.173,87.283,0.904,0.808,0.327,4.533,0.859,0.945,Tier 1 – Highly Effective
3,I_018,14,11,0.867,0.144,32.225,89.097,0.883,0.851,0.341,4.636,0.782,0.91,Tier 1 – Highly Effective
4,I_105,16,12,0.864,0.141,33.871,86.273,0.871,0.824,0.318,4.507,0.834,0.885,Tier 1 – Highly Effective
5,I_091,8,7,0.897,0.116,33.377,85.028,0.774,0.925,0.265,4.49,0.778,0.824,Tier 1 – Highly Effective
6,I_005,19,13,0.86,0.146,32.589,85.828,0.847,0.877,0.334,4.203,0.784,0.805,Tier 1 – Highly Effective
7,I_118,19,14,0.821,0.202,32.637,87.072,0.773,0.829,0.258,4.642,0.869,0.802,Tier 1 – Highly Effective
8,I_015,17,11,0.781,0.239,31.365,79.833,0.867,0.856,0.285,4.521,0.777,0.796,Tier 1 – Highly Effective
9,I_025,19,14,0.823,0.164,31.296,83.376,0.861,0.791,0.293,4.375,0.832,0.781,Tier 1 – Highly Effective
10,I_051,26,15,0.793,0.211,31.353,84.137,0.797,0.823,0.296,4.48,0.79,0.757,Tier 1 – Highly Effective
11,I_102,7,7,0.743,0.244,29.742,91.072,0.824,0.745,0.33,4.469,0.777,0.753,Tier 1 – Highly Effective
12,I_103,18,14,0.773,0.206,31.055,83.336,0.811,0.806,0.303,4.44,0.805,0.748,Tier 1 – Highly Effective
13,I_013,17,14,0.805,0.191,30.605,84.711,0.792,0.776,0.271,4.45,0.828,0.747,Tier 1 – Highly Effective
14,I_058,16,12,0.775,0.213,30.139,83.159,0.811,0.856,0.246,4.399,0.809,0.741,Tier 1 – Highly Effective
15,I_087,21,14,0.776,0.224,29.034,84.699,0.831,0.817,0.281,4.376,0.776,0.732,Tier 1 – Highly Effective
16,I_030,16,12,0.738,0.249,29.309,82.229,0.875,0.749,0.302,4.398,0.82,0.731,Tier 1 – Highly Effective
17,I_003,18,14,0.768,0.235,29.978,81.591,0.818,0.78,0.296,4.45,0.812,0.722,Tier 1 – Highly Effective
18,I_114,13,11,0.728,0.282,29.745,76.344,0.813,0.819,0.259,4.609,0.798,0.708,Tier 1 – Highly Effective
19,I_002,20,10,0.731,0.247,30.166,81.737,0.837,0.774,0.29,4.343,0.784,0.7,Tier 1 – Highly Effective
20,I_034,16,11,0.763,0.247,30.489,86.716,0.761,0.789,0.298,4.296,0.819,0.688,Tier 1 – Highly Effective
21,I_093,17,15,0.714,0.288,29.3,79.36,0.786,0.747,0.299,4.478,0.826,0.686,Tier 1 – Highly Effective
22,I_014,18,10,0.72,0.28,28.3,79.005,0.863,0.79,0.296,4.265,0.803,0.682,Tier 1 – Highly Effective
23,I_021,15,13,0.667,0.306,29.249,86.064,0.835,0.788,0.272,4.332,0.79,0.681,Tier 1 – Highly Effective
24,I_056,14,12,0.703,0.3,32.402,84.139,0.781,0.808,0.249,4.329,0.796,0.668,Tier 1 – Highly Effective
25,I_007,15,9,0.705,0.296,31.22,80.288,0.808,0.778,0.299,4.263,0.761,0.66,Tier 1 – Highly Effective
26,I_099,26,16,0.645,0.364,28.382,80.676,0.823,0.798,0.288,4.344,0.798,0.648,Tier 1 – Highly Effective
27,I_024,21,13,0.659,0.353,28.757,80.203,0.816,0.806,0.265,4.344,0.789,0.646,Tier 1 – Highly Effective
